0,82
4,4087
6,6286
10,6269
12,5237
14,5470
20,2156
22,4543
24,6978
26,6669
30,4895
32,6410
34,3118
40,2634
42,2128
44,4024
52,3422
56,6368
58,2792
62,4555
70,5045
72,6050
74,4796
76,2625
78,4181
80,6550
86,6108
94,5670
96,336
100,3744
102,4931
106,1274
110,6855
112,5214
114,6758
116,5030
118,4392
120,6258
122,6852
124,4651
126,6649
130,6468
134,5880
136,4104
138,5248
140,3770
142,7006
144,3381
146,6182
148,4554
150,6549
154,668
156,6346
160,6828
162,5764
164,6281
166,6938
174,2047
176,3818
178,6335
180,6399
182,6463
184,6485
186,5072
188,4888
190,7123
192,3888
194,497
196,5772
198,5397
200,359
202,6273
204,4697
208,5786
212,6807
214,2690
216,3733
218,6174
220,4044
228,4918
230,2202
234,4043
236,5071
238,6122
240,4039
242,4797
248,4953
250,2435
252,2586
258,5213
264,5904
268,2431
274,4265
278,2233
280,2559
282,3231
286,632
290,4378
292,1792
294,2646
296,5329
300,4795
302,4721
304,5429
306,5362
308,3136
314,2342
316,5153
320,4501
322,6832
324,3433
326,3098
330,6501
334,6317
338,4486
340,7068
342,4301
344,2269
346,5747
352,4715
354,5665
356,5291
358,5695
360,4963
362,5522
364,4606
366,2543
368,7056
370,6576
372,7018
374,2336
378,5654
380,4563
386,4036
390,4643
392,5556
396,2490
400,6107
402,3148
404,6015
406,1651
410,5184
412,4889
414,1941
418,1858
420,3981
422,3338
430,4602
434,3978
440,1564
444,4927
446,635
448,5811
452,3347
456,3762
458,6422
460,3383
466,6292
468,3233
472,1825
476,2264
480,2210
482,1700
484,1784
486,7063
492,5559
494,5722
498,1911
500,5828
502,6481
504,5449
506,786
510,5564
512,548
514,1979
520,1532
522,3486
526,3922
530,5707
532,2443
538,1276
542,5837
546,6400
554,5038
560,1221
562,6186
566,5325
568,2910
570,6343
572,2632
582,5935
584,1590
586,1491
590,1588
592,2688
596,6685
598,6793
600,7042
608,5763
612,3839
614,5548
622,5757
624,4346
626,4967
628,2983
630,3471
636,5796
638,7079
640,4297
642,5292
646,3904
648,5991
650,6878
652,1707
654,1315
656,5600
660,3947
664,7055
672,5623
676,5972
680,2229
692,5626
696,6892
698,4057
700,4552
704,6825
708,5043
710,6908
712,2321
724,2407
726,2545
728,2756
730,2602
732,1254
738,4179
744,2861
746,3926
748,2954
750,5315
752,4767
754,4435
758,3509
764,3530
766,3332
768,6113
770,3305
772,2628
778,6310
790,6052
792,7104
794,3574
796,6272
798,825
802,4564
808,4115
810,3135
820,5586
824,4216
828,4180
830,6051
832,6679
840,5678
846,4612
848,6204
850,5602
852,6223
856,5306
858,5544
860,5648
862,1354
866,2473
872,57
874,6934
880,5996
882,1420
884,4201
886,3212
888,4961
890,1451
892,6805
896,3575
900,5628
906,4090
908,3747
912,5973
914,6803
916,3230
918,3563
920,5866
922,4709
926,4457
932,5627
938,6202
940,1310
942,6724
944,7028
946,2148
948,6169
950,6166
952,2354
956,3886
962,3377
974,5319
976,4781
980,4178
984,5007
986,6778
988,4008
996,5190
1000,5563
1002,4328
1004,4787
1010,4139
1018,4661
1020,2947
1026,6584
1030,4251
1032,1517
1034,4598
1036,4845
